               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,            0.025509,           0.0073101,                   0,             0.95331,             0.94433,              0.9756,             0.57639,            0.022967,            0.005802,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.025804,           0.0075328,                   0,             0.95374,             0.94814,             0.97649,             0.57652,            0.022921,           0.0057992,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.026103,           0.0071622,                   0,             0.95186,             0.94911,             0.97603,             0.57489,            0.023004,           0.0057947,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.025103,           0.0073449,                   0,             0.94966,             0.95121,              0.9762,             0.57565,            0.022987,           0.0057891,                   0,            0.000628,            0.000628,            0.000628
                 144,             0.02539,           0.0073586,                   0,               0.947,             0.95147,             0.97519,             0.57895,            0.022775,           0.0057695,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.025585,           0.0070854,                   0,             0.95452,             0.94827,             0.97533,             0.57602,              0.0229,           0.0057785,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.024527,           0.0072974,                   0,             0.95401,             0.94796,             0.97518,             0.57338,            0.023177,           0.0057963,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.025489,           0.0073001,                   0,              0.9531,             0.94716,             0.97567,             0.57283,            0.023243,           0.0057974,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.024908,           0.0072283,                   0,             0.95067,             0.94917,             0.97549,              0.5749,            0.023163,            0.005781,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.024873,           0.0072885,                   0,             0.95439,             0.94543,              0.9751,             0.57844,            0.023026,           0.0057734,                   0,            0.000232,            0.000232,            0.000232
